Date, No.Product, Product, Raw, OperationWeight[gram], TargetWeight[geam], Amount[=E/F],"	MaxReqFeedTime[msec][=FLOOR.Math(E/14400)]","	LastTotalError"
7/5/2020,1,סוכר לבן 20,1587,300000,20,15000,20,2
7/6/2020,2,סוכר לבן 30,1587,300000,30,10000,20,1
7/7/2020,3,סוכר לבן 40,1587,300000,40,7500,20,2
28/07/2020,4,סוכר לבן 50,1587,300000,50,6000,20,6
28/07/2020,5,חלבון 20,600,300000,20,15000,20,3
28/07/2020,6,חלבון 30,600,300000,30,10000,20,10
05/08/20207,7,חלבון 40,600,300000,40,7500,20,3
05/08/20207,8,חלבון 50,600,300000,50,6000,20,2
